Mapping,Date,Control,Delivery (MWh),Authorization (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals
M03,2013-04-09,ECF,3.0148475604839633,4.115350476951603,1.1005029164676396,-1.9771842646864328,8
M03,2013-04-09,Equal-total control,2.9416922870442526,4.0396275574878056,1.097935270443552,-2.049584760763872,0
M03,2013-04-10,No feedback,3.521940316519925,4.1653139166229955,0.6433736001030708,-1.385865717937009,0
M03,2013-04-10,Previous-day persistence,2.9085048509573483,2.96379514836482,0.05529029740747196,-1.9972796681820715,0
M03,2013-04-10,ECF,3.564340967815275,4.200491238527125,0.6361502707118492,-1.3439518798907337,8
M03,2013-04-10,Equal-total control,3.52193665440429,4.165310178991367,0.6433735245870764,-1.385869335360135,0
M03,2013-04-14,No feedback,3.7408408925521743,4.4933998355929266,0.7525589430407518,-1.2169246709718269,0
M03,2013-04-14,Previous-day persistence,3.3751334681829093,3.4271281099958646,0.05199464181295474,-1.579666050881357,0
M03,2013-04-14,ECF,3.7428279936528637,4.483752361183809,0.7409243675309453,-1.2150159111706673,11
M03,2013-04-14,Equal-total control,3.7408415901682224,4.49340059427862,0.752559004110399,-1.21692401461412,0
M03,2013-04-15,No feedback,3.331559411413825,4.186280239906455,0.8547208284926298,-1.6284833123919427,0
M03,2013-04-15,Previous-day persistence,3.0756688231934417,3.3741115888330535,0.29844276563961136,-1.8827596382885483,0
M03,2013-04-15,ECF,3.3164295275506896,4.157142564829554,0.8407130372788644,-1.643477342266114,7
M03,2013-04-15,Equal-total control,3.3315560110074482,4.186276988560997,0.8547209775535491,-1.6284867062102246,0
M03,2013-04-22,No feedback,2.913651605417277,4.135903478648751,1.2222518732314738,-2.538622162430408,0
M03,2013-04-22,Previous-day persistence,2.647299869125395,3.2061908553377156,0.5588909862123208,-2.8039963352706185,0
M03,2013-04-22,ECF,2.7875694879384816,3.9084819552498056,1.120912467311324,-2.6636783487663678,14
